Product                ;emoji ;Soort    ;Januari ;Februari ;Maart ;April ;Mei ;Juni ;Juli ;Augustus ;September ;Oktober ;November ;December ;Lokaal ;Follicular ;Ovulatory ;Luteal ;Menstrual ;FODMAP ;FODMAP-light ;Dirty-Fifteen
Watermeloen            ;🍉    ;Fruit    ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     0 ;           ;          ;       ;        1 ;     0 ;             ;
Olijven                ;🫒    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;          ;     2 ;             ;
Abrikoos               ;🍑    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;          ;     0 ;             ;
Appel                  ;🍎    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;     1 ;          ;     0 ;             ;
Avocado                ;🥑    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;         1 ;        1 ;       ;        1 ;     1 ;             ;
Banaan                 ;🍌    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;        1 ;     2 ;             ;
Grapefruit             ;🍊    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;        1 ;       ;        1 ;     1 ;             ;
Citroen                ;🍋    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;        1 ;     2 ;             ;
Kaki                   ;🥝    ;Fruit    ;      1 ;       1 ;      ;      ;    ;     ;     ;         ;          ;        ;       1 ;         ;     0 ;           ;          ;       ;          ;     0 ;             ;
Kiwi                   ;🥝    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;        1 ;     2 ;             ;
Mandarijn              ;🍊    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;        1 ;     1 ;             ;
Nectarine              ;🍑    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Sinaasappel            ;🍊    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;         1 ;          ;       ;        1 ;     1 ;             ;
Lychee                 ;🥝    ;         ;      1 ;       1 ;      ;      ;    ;     ;     ;         ;          ;        ;         ;         ;     0 ;           ;          ;       ;          ;     0 ;             ;
Limoen                 ;🍋    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     0 ;           ;          ;       ;        1 ;     2 ;             ;
Peer                   ;🍐    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     0 ;             ;
Perzik                 ;🍑    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     0 ;           ;          ;       ;        1 ;     0 ;             ;
Pruim                  ;🍑    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Vijgen                 ;🍑    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Dadels                 ;🥭    ;Fruit    ;        ;         ;      ;      ;    ;     ;     ;         ;        1 ;      1 ;       1 ;         ;     0 ;           ;          ;       ;          ;     0 ;imoen        ;Fruit         ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;1 ;0 ; ; ; ;1 ;2 ; ;
Peer                   ;🍐    ;Fruit    ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     0 ;             ;
Perzik                 ;🍑    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     0 ;           ;          ;       ;        1 ;     0 ;             ;
Pruim                  ;🍑    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Vijgen                 ;🍑    ;Fruit    ;        ;         ;      ;      ;    ;   1 ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Dadels                 ;🥭    ;Fruit    ;        ;         ;      ;      ;    ;     ;     ;         ;        1 ;      1 ;       1 ;         ;     0 ;           ;          ;       ;          ;     0 ;             ;
